title,price,location,date,url,image_url
Car body cover available in wholesale market price,₹ 500,"Periyamet, Chennai",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782,https://apollo.olx.in:443/v1/files/56xwmkr0uq3q2-IN/image;s=150x0;q=50;f=webp;
One BHK semi furnished flat with covered car parking,"₹ 7,500","IDPL Colony, Rishikesh",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549,https://apollo.olx.in:443/v1/files/dgmi1co2pjj21-IN/image;s=150x0;q=50;f=webp;
2bhk near ponda kendriya vidyalaya for rent with covered car parking,"₹ 17,500","Sindhu Nagar, Ponda",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sindhu-nagar-ponda-iid-1816507443,https://apollo.olx.in:443/v1/files/gvjnxrxa7oyf3-IN/image;s=150x0;q=50;f=webp;
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",N/A,https://www.olx.in/item/mobile-phones-c1453-used-other-mobiles-in-gulzar-nagar-bareilly-iid-1817986471,https://apollo.olx.in:443/v1/files/jlgiz5nekygj1-IN/image;s=150x0;q=50;f=webp;
2bhk & Covered Car Parking-SALE,"₹ 53,00,000","Chikhali, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892,https://apollo.olx.in:443/v1/files/fp7lrlf8pgrc2-IN/image;s=150x0;q=50;f=webp;
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433,https://apollo.olx.in:443/v1/files/ytb12cbos9ag1-IN/image;s=150x0;q=50;f=webp;
"Villas for sale at kovilancheri .Specious design ,covered car parking!","₹ 85,00,000","Kovilancheri, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513,https://apollo.olx.in:443/v1/files/9kmqob7eoxjb-IN/image;s=150x0;q=50;f=webp;
Baleno Car Body Cover,"₹ 1,200","Kanakpura, Jaipur",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kanakpura-jaipur-iid-1817977216,https://apollo.olx.in:443/v1/files/ealft9qkccin-IN/image;s=150x0;q=50;f=webp;
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000","Mira Road, Mumbai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820,https://apollo.olx.in:443/v1/files/4079v2t0vbl7-IN/image;s=150x0;q=50;f=webp;
"4BHK,5 Washroom, North Facing ,2 car Covered parking, AdequatSun light","₹ 85,00,000","Bill Road, Vadodara",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-1916-sq-ft-in-bill-road-vadodara-iid-1816477033,https://apollo.olx.in:443/v1/files/9yxztupvbfq92-IN/image;s=150x0;q=50;f=webp;
Hyundai Exter Car Cover,₹ 500,"Bagalakunte, Bengaluru",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bagalakunte-bengaluru-iid-1817951090,https://apollo.olx.in:443/v1/files/j7bb4sh0tlnm2-IN/image;s=150x0;q=50;f=webp;
Ahmed car Matings and seat cover whole sale Distributor,N/A,"Farooqnagar, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-ahmed-car-matings-and-seat-cover-whole-sale-distributor-in-farooqnagar-hyderabad-iid-1625487590,https://apollo.olx.in:443/v1/files/s93jm6qmzh2j1-IN/image;s=150x0;q=50;f=webp;
75 Gaj home with covered car parking,"₹ 33,00,020","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-703-sq-ft-in-jawahar-colony-faridabad-iid-1817077364,https://apollo.olx.in:443/v1/files/mu698lvs3qwx1-IN/image;s=150x0;q=50;f=webp;
"1.5 KM-KINFRA, 5 KM-Techno Park, CC TV, Covered Ample Car& 2W Parking.","₹ 13,500","Chanthavila, Thiruvananthapuram",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-chanthavila-thiruvananthapuram-iid-1816396942,https://apollo.olx.in:443/v1/files/9n23q6swvtfa1-IN/image;s=150x0;q=50;f=webp;
Car seat cover i 10 balino alto all car seat covers,N/A,"Garhwali Colony, Dehradun",N/A,https://www.olx.in/item/other-services-c625-car-seat-cover-i-10-balino-alto-all-car-seat-covers-in-garhwali-colony-dehradun-iid-1817943331,https://apollo.olx.in:443/v1/files/c4s5d8scvrm51-IN/image;s=150x0;q=50;f=webp;
Personal covered car parking,"₹ 95,00,000","Ace Divino, Greater Noida",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-2424-sq-ft-in-ace-divino-greater-noida-iid-1792721639,https://apollo.olx.in:443/v1/files/r8awo7f2up8p2-IN/image;s=150x0;q=50;f=webp;
A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317,https://apollo.olx.in:443/v1/files/sw309qx4h1ll1-ADVIN/image;s=150x0;q=50;f=webp;
A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT,"₹ 75,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003,https://apollo.olx.in:443/v1/files/fccc9d326bb12-ADVIN/image;s=150x0;q=50;f=webp;
A 800 SQFT FURNISHED 1BHK FLAT  COVERED CAR PARK AVAILABLE FOR RENT,"₹ 40,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379,https://apollo.olx.in:443/v1/files/5igna6spgqtt-ADVIN/image;s=150x0;q=50;f=webp;
Car Cover Brezza,₹ 400,"Badkhal, Faridabad",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-badkhal-faridabad-iid-1817923398,https://apollo.olx.in:443/v1/files/2s220qgb41iv1-IN/image;s=150x0;q=50;f=webp;
"2BHK 896Sq. ft. flat  with covered car parking,  for sale in Eden Lake","₹ 36,00,000","Tollygunge, Kolkata",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616,https://apollo.olx.in:443/v1/files/n7azqbryng2d3-IN/image;s=150x0;q=50;f=webp;
Car seat cover,"₹ 6,000","Laal Ganesh, Guwahati",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938,https://apollo.olx.in:443/v1/files/447bxx71ar4j-IN/image;s=150x0;q=50;f=webp;
2bhk flat for Sale with covered car parking,"₹ 47,00,000","Pisoli, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623,https://apollo.olx.in:443/v1/files/rfbur9murtej3-IN/image;s=150x0;q=50;f=webp;
Punch car cover,N/A,"Chenippadi, Kumaranellur",N/A,https://www.olx.in/item/other-services-c625-punch-car-cover-in-chenippadi-kumaranellur-iid-1817922234,https://apollo.olx.in:443/v1/files/8ihh3htzo8nc-IN/image;s=150x0;q=50;f=webp;
"Waterproof,Dust proof car cover","₹ 1,500","Kamala Nagar, Anantapur",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamala-nagar-anantapur-iid-1817919279,https://apollo.olx.in:443/v1/files/tex6i2tbz02h-IN/image;s=150x0;q=50;f=webp;
Jack and car cover,N/A,"Venkateshwara Colony, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-jack-and-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675,https://apollo.olx.in:443/v1/files/t8mtl00c8h7m2-IN/image;w=shot-on-olx;s=150x0;q=50;f=webp;
For rent or Sale 2 BHK with Covered Car parking,"₹ 59,00,000","Padur, Kovalam",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-727-sq-ft-in-padur-kovalam-iid-1811296083,https://apollo.olx.in:443/v1/files/q1t04677z5lx-IN/image;s=150x0;q=50;f=webp;
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000","Padivattom, Kochi",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258,https://apollo.olx.in:443/v1/files/vn5476wshdtl-IN/image;s=150x0;q=50;f=webp;
"IT, Media office, covered car n bike parking, Kakkanad Kochi","₹ 25,000","Chembumukku, Kochi",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-chembumukku-kochi-iid-1817413699,https://apollo.olx.in:443/v1/files/cne5ly5flbw5-IN/image;s=150x0;q=50;f=webp;
Covered car parking for rent,N/A,"Saligramam Kaveri Rangan Nagar, Chennai",N/A,https://www.olx.in/item/other-services-c625-covered-car-parking-for-rent-in-saligramam-kaveri-rangan-nagar-chennai-iid-1817905220,https://apollo.olx.in:443/v1/files/wxcyvdypmkmo1-IN/image;s=150x0;q=50;f=webp;
Car seat cover,N/A,"Auto Nagar, Hyderabad",N/A,https://www.olx.in/item/electronics-repair-services-c523-others-in-auto-nagar-hyderabad-iid-1817903156,https://apollo.olx.in:443/v1/files/qigf54gi0lj3-IN/image;s=150x0;q=50;f=webp;
Brembo brake caliper covers all colours available for all cars,₹ 699,"Begumpet, Hyderabad",N/A,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400,https://apollo.olx.in:443/v1/files/ep3qq237eju53-ADVIN/image;s=150x0;q=50;f=webp;
This is completely car accessories & car seats covers,N/A,"Balanagar, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-this-is-completely-car-accessories-car-seats-covers-in-balanagar-hyderabad-iid-1812203773,https://apollo.olx.in:443/v1/files/838lmymocqry1-IN/image;s=150x0;q=50;f=webp;
New flat 2 BHK Flat on Rent with Covered Car Parking,"₹ 17,000","Moshi, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-moshi-pune-iid-1817880077,https://apollo.olx.in:443/v1/files/zm7w55ovbtpp3-IN/image;s=150x0;q=50;f=webp;
Rent 2 BHK Flat with Covered Car Parking,"₹ 17,000","Moshi, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-moshi-pune-iid-1814818764,https://apollo.olx.in:443/v1/files/k0q8qb2085we-IN/image;s=150x0;q=50;f=webp;
Maruti Suzuki Grand vitara new car rim and wheel cover (set of 4),"₹ 9,999","Sector 21D, Faridabad",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-21d-faridabad-iid-1817309926,https://apollo.olx.in:443/v1/files/5mpy3ygomqhy2-IN/image;s=150x0;q=50;f=webp;
Altos car cover non usage 800 rs,₹ 800,"Farakhpur, Yamunanagar",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-farakhpur-yamunanagar-iid-1817868505,https://apollo.olx.in:443/v1/files/kujmu3i8n5ie3-IN/image;s=150x0;q=50;f=webp;
Spacious 2BHK Flat for Rent – 2nd Floor  Covered Car Parking,"₹ 18,000","Pisoli, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-941-sq-ft-in-pisoli-pune-iid-1815181220,https://apollo.olx.in:443/v1/files/kt9pya5yphqd3-IN/image;s=150x0;q=50;f=webp;
Coimbatore Cheran Ma nagar 2 BHK 2 Bathroom with Covered Car Parking,"₹ 25,000","Cheran Maa Nagar, Coimbatore",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-cheran-maa-nagar-coimbatore-iid-1817862688,https://apollo.olx.in:443/v1/files/i60uyx0g6ttg-IN/image;s=150x0;q=50;f=webp;
Independent Villa with Four 1BHk & 2BHk flats and covered car parking,"₹ 1,40,00,000","Deshbandhu Para, Siliguri",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-houses-villas-1948-sq-ft-in-deshbandhu-para-siliguri-iid-1817849697,https://apollo.olx.in:443/v1/files/ydxd9r96yxzx2-IN/image;s=150x0;q=50;f=webp;
Fully Ventilated 2 BHK Flat With 1 Car Parking Covered,"₹ 42,50,000","Mahindra Enclave, Ghaziabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-910-sq-ft-in-mahindra-enclave-ghaziabad-iid-1817604251,https://apollo.olx.in:443/v1/files/nxoqi86imnzr2-IN/image;s=150x0;q=50;f=webp;
car cover available,"₹ 1,200","Dhanvantari Nagar, Puducherry",N/A,https://www.olx.in/item/spare-parts-c1585-car-cover-available-in-dhanvantari-nagar-puducherry-iid-1817828367,https://apollo.olx.in:443/v1/files/yl0h2wzklozq1-IN/image;s=150x0;q=50;f=webp;
2 BHK flat with 2 balcony & Covered Car Parking,"₹ 20,000","Punawale, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-punawale-pune-iid-1817047903,https://apollo.olx.in:443/v1/files/cqrl74wc7pce-IN/image;s=150x0;q=50;f=webp;
Maruti Fronx Car Seat Cover USED,"₹ 1,899","Free Ganj, Ujjain",N/A,https://www.olx.in/item/spare-parts-c1585-maruti-fronx-car-seat-cover-used-in-free-ganj-ujjain-iid-1817813933,https://apollo.olx.in:443/v1/files/6i56iccymsfy-IN/image;s=150x0;q=50;f=webp;
Wagon r car cover,N/A,"Sadiq Nagar, Ghaziabad",N/A,https://www.olx.in/item/other-services-c625-wagon-r-car-cover-in-sadiq-nagar-ghaziabad-iid-1817812967,https://apollo.olx.in:443/v1/files/gu605hp4hrme2-IN/image;s=150x0;q=50;f=webp;
APARTMENT RENT 26 2 BHK COVERED CAR PARKING LIFT AVAILABLE,"₹ 26,000","Mogappair, Chennai",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-mogappair-chennai-iid-1812480090,https://apollo.olx.in:443/v1/files/b9ap9wazhbkb1-IN/image;s=150x0;q=50;f=webp;
Wanna rent my 2bhk flat garden facing with cover car parking,"₹ 7,800","Kabeer Nagar, Raipur",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-800-sq-ft-in-kabeer-nagar-raipur-iid-1816498799,https://apollo.olx.in:443/v1/files/4jebhl4c677m3-IN/image;s=150x0;q=50;f=webp;
Car body Cover,₹ 900,"Moshi, Pune",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-moshi-pune-iid-1817803490,https://apollo.olx.in:443/v1/files/srd1n46vijq81-IN/image;s=150x0;q=50;f=webp;
"Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM","₹ 25,000","Padivattom, Kochi",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548,https://apollo.olx.in:443/v1/files/k0te8i2vlzid1-IN/image;s=150x0;q=50;f=webp;
Car seat cover,"₹ 3,800","Moula Ali, Hyderabad",N/A,https://www.olx.in/item/sofa-dining-c1593-car-seat-cover-in-moula-ali-hyderabad-iid-1811011275,https://apollo.olx.in:443/v1/files/53pczfir21h61-IN/image;s=150x0;q=50;f=webp;
Car premium seat covers,"₹ 6,000","Janiyar Nagar, Ranchi",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-janiyar-nagar-ranchi-iid-1817791920,https://apollo.olx.in:443/v1/files/i0yv3utsn4jz1-IN/image;s=150x0;q=50;f=webp;
All cars side mirror cover abs plastic piano black batman style,"₹ 2,000","Akashi Nagar, Guwahati",N/A,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-akashi-nagar-guwahati-iid-1810233785,https://apollo.olx.in:443/v1/files/ovheyirfu122-IN/image;s=150x0;q=50;f=webp;
Car accessories floor lamination Seat cover string cover dor steps,"₹ 3,500","Bhawani Peth, Pune",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bhawani-peth-pune-iid-1817789487,https://apollo.olx.in:443/v1/files/q0stl512ojuh1-IN/image;s=150x0;q=50;f=webp;
1 bhk with covered car parking in a gated sosciety available for sale,"₹ 35,00,000","Shiv Nagar, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-650-sq-ft-in-shiv-nagar-pune-iid-1817782778,https://apollo.olx.in:443/v1/files/cqciv8nntxt22-IN/image;s=150x0;q=50;f=webp;
2 Covered Car Park -New 3BHK Individual Home Sale nr Porur Ramachandra,"₹ 1,60,00,000","Valasaravakkam, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1950-sq-ft-in-valasaravakkam-chennai-iid-1817778968,https://apollo.olx.in:443/v1/files/evfn2azl6sss1-IN/image;s=150x0;q=50;f=webp;
1.5Bhk With Covered Car Parking at 1.05Cr++ in Raheja Lunaris Nerul E.,"₹ 1,05,00,000","Kharghar, Navi Mumbai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-780-sq-ft-in-kharghar-navi-mumbai-iid-1816492331,https://apollo.olx.in:443/v1/files/ljdtojdqo6v33-IN/image;s=150x0;q=50;f=webp;
Car Wheel Cover 15 Inch - 4 Piece,₹ 600,"Kavi Nagar Jila Panchayat Colony, Ghaziabad",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525,https://apollo.olx.in:443/v1/files/xindljc2hnvi-IN/image;s=150x0;q=50;f=webp;
Renault KWID Water and scratch proof body/car cover,₹ 800,"Gachibowli, Hyderabad",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-gachibowli-hyderabad-iid-1816116640,https://apollo.olx.in:443/v1/files/lt7eu212pa4j-IN/image;s=150x0;q=50;f=webp;
"Car cover for small cars like eon , alto , maruti 800","₹ 1,000","Kapoorpur, Ghazipur",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kapoorpur-ghazipur-iid-1816209291,https://apollo.olx.in:443/v1/files/2z0fmcjzgpkv-IN/image;s=150x0;q=50;f=webp;
Big Fully covered Garriage rent for car in Nabapally,"₹ 2,200","Barasat- Barrackpore Road, Kolkata",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-1000-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1817764565,https://apollo.olx.in:443/v1/files/y3n4bhjxbqqr1-IN/image;s=150x0;q=50;f=webp;
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111","Dabua Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193,https://apollo.olx.in:443/v1/files/qna0t4oevg3i-IN/image;s=150x0;q=50;f=webp;
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001","Nangla Gurjan, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846,https://apollo.olx.in:443/v1/files/mmrcj0rga4e11-ADVIN/image;s=150x0;q=50;f=webp;
Independent house with covered car parking own borewell,"₹ 32,000","TC Palya Main Road, Bengaluru",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1300-sq-ft-in-tc-palya-main-road-bengaluru-iid-1817740629,https://apollo.olx.in:443/v1/files/duldv5eqgr5c-IN/image;s=150x0;q=50;f=webp;
Hector  Car seat covers,"₹ 3,500","Waterfield Road Bandra West, Mumbai",N/A,https://www.olx.in/item/spare-parts-c1585-hector-car-seat-covers-in-waterfield-road-bandra-west-mumbai-iid-1817738328,https://apollo.olx.in:443/v1/files/pq0vpg3kvdoa-IN/image;s=150x0;q=50;f=webp;
2000 SQ FT FLAT ALONG WITH ONE COVERED CAR PARKING,"₹ 1,00,00,000","Purba Barisha, Kolkata",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-2000-sq-ft-in-purba-barisha-kolkata-iid-1817736198,https://apollo.olx.in:443/v1/files/7q097iont20l2-IN/image;s=150x0;q=50;f=webp;
COVERED CAR PARKING WITH CCTV PROTECTION FOR RENT IN ROYAPETTAH,"₹ 4,000","Royapettah, Chennai",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-700-sq-ft-in-royapettah-chennai-iid-1817735767,https://apollo.olx.in:443/v1/files/o1byj4eelrmb-IN/image;s=150x0;q=50;f=webp;
Car Cover for maruthi swift dezire,"₹ 1,800","Aishwarya Crystal Layout, Bengaluru",N/A,https://www.olx.in/item/kitchen-other-appliances-c1417-car-cover-for-maruthi-swift-dezire-in-aishwarya-crystal-layout-bengaluru-iid-1817735705,https://apollo.olx.in:443/v1/files/ty1zn60zxtug-IN/image;s=150x0;q=50;f=webp;
A cover of swift car,"₹ 1,199","Bhav Nagar, Bechar Alias Becharaji",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bhav-nagar-bechar-alias-becharaji-iid-1817725443,https://apollo.olx.in:443/v1/files/o3t5ro9b9wbq3-IN/image;s=150x0;q=50;f=webp;
107 Gaj home with covered car parking near by main market,"₹ 45,00,000","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286,https://apollo.olx.in:443/v1/files/snfj4qh41n4k1-IN/image;s=150x0;q=50;f=webp;
Well maintained neat and clean car. costly seat cover. smooth engine,"₹ 3,60,000","Chithali, Palakkad",N/A,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ritz-in-chithali-palakkad-iid-1817711309,https://apollo.olx.in:443/v1/files/u11v910b7axe3-IN/image;s=150x0;q=50;f=webp;
Car body cover,"₹ 1,850","Marwar Peth, Baramati",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-marwar-peth-baramati-iid-1817706488,https://apollo.olx.in:443/v1/files/1mew6sj9ieow1-IN/image;s=150x0;q=50;f=webp;
Two bhk wid covered car parking lift in janakpuri nr metro park facing,"₹ 99,30,998","Vikaspuri, Delhi",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-960-sq-ft-in-vikaspuri-delhi-iid-1805661816,https://apollo.olx.in:443/v1/files/s6jznvpc0ysq2-ADVIN/image;s=150x0;q=50;f=webp;
All cars side mirror batman cover abs plastic piano black,"₹ 2,999","Ashok Nagar, Vijayawada",N/A,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-ashok-nagar-vijayawada-iid-1812853041,https://apollo.olx.in:443/v1/files/70jzyygn60x82-IN/image;s=150x0;q=50;f=webp;
All cars side mirror cover batman style abs,"₹ 2,500","Chembur, Mumbai",N/A,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-in-chembur-mumbai-iid-1812311995,https://apollo.olx.in:443/v1/files/idy2actxaaiz2-IN/image;s=150x0;q=50;f=webp;
3BHK with covered car parking +front and back lawn,"₹ 11,000","Vijay Nagar, Rewari",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-1800-sq-ft-in-vijay-nagar-rewari-iid-1817667209,https://apollo.olx.in:443/v1/files/pwk5nc6rnwcj1-IN/image;s=150x0;q=50;f=webp;
15 INCH WHEEL COVER SET OF TWO FOR CAR FOR JUST 750RS,₹ 750,"Virar West, Mumbai",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-virar-west-mumbai-iid-1817664247,https://apollo.olx.in:443/v1/files/s5e5bp37vngt2-IN/image;s=150x0;q=50;f=webp;
Car seat cover hyd,"₹ 5,500","Ranigunj, Secunderabad",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-ranigunj-secunderabad-iid-1817662474,https://apollo.olx.in:443/v1/files/ulhl4do13h7n-IN/image;s=150x0;q=50;f=webp;
3BHK First Floor for Rent in Thirumala with Covered Car Parking,"₹ 10,000","Thirumala, Thiruvananthapuram",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-1200-sq-ft-in-thirumala-thiruvananthapuram-iid-1817329897,https://apollo.olx.in:443/v1/files/vqynjpq4eoua2-IN/image;s=150x0;q=50;f=webp;
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614,https://apollo.olx.in:443/v1/files/vw6uacmcjonh1-IN/image;s=150x0;q=50;f=webp;
1bhk with cover car parking,"₹ 31,00,000","Taloja Panchanand, Navi Mumbai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-712-sq-ft-in-taloja-panchanand-navi-mumbai-iid-1814391763,https://apollo.olx.in:443/v1/files/zo3ixojgcjbf-IN/image;s=150x0;q=50;f=webp;
